player_id,year,prev_fip,prev_era,prev_whip,prev_kbb,prev_ip_total
12908,2024,3.7,1.35,1.5000000000000002,1.0,6.666666666666666
12908,2025,3.677726218097448,3.821345707656613,1.4617169373549885,2.0555555555555554,143.66666666666666
12908,2026,3.00625,3.1941964285714284,1.2723214285714284,2.782608695652174,149.33333333333334
12928,2025,20.1,45.0,6.0,0.5,1.0
12928,2026,17.1,81.0,10.0,0.3333333333333333,1.0
12930,2024,3.1153452685421996,3.797953964194373,1.3964194373401533,2.7142857142857144,130.33333333333334
12930,2025,5.638461538461539,9.04945054945055,2.2912087912087915,1.3658536585365855,60.666666666666664
12930,2026,3.738613861386139,3.9430693069306932,1.410891089108911,2.3469387755102042,134.66666666666666
12944,2024,2.7,6.6,1.3333333333333333,2.25,15.0
12944,2025,6.1000000000000005,10.8,2.5500000000000003,0.8,6.666666666666666
12944,2026,5.0354838709677425,5.225806451612904,1.5967741935483872,3.0,20.666666666666664
13061,2024,3.5162303664921466,2.897905759162304,1.2094240837696335,1.8275862068965518,127.33333333333333
13061,2025,3.475745526838966,4.240556660039761,1.3001988071570578,2.026315789473684,167.66666666666666
13061,2026,3.3378048780487806,4.198170731707317,1.253048780487805,2.6097560975609757,109.33333333333333
13070,2024,2.6,9.0,2.0,2.0,2.0
13070,2025,9.1,0.0,3.0,0.0,1.0
13072,2024,5.725,6.75,2.25,0.3333333333333333,2.6666666666666665
13072,2025,5.92,3.7800000000000007,1.3800000000000001,1.1,16.666666666666664
13072,2026,8.766666666666667,15.0,2.3333333333333335,0.5,3.0
13080,2025,4.456,5.0760000000000005,1.6920000000000002,1.1568627450980393,83.33333333333333
13085,2024,3.6446428571428573,4.017857142857143,1.2232142857142858,3.75,112.0
13085,2025,4.446260387811634,4.337950138504155,1.296398891966759,4.5625,120.33333333333333
13085,2026,4.683333333333334,4.7727272727272725,1.3181818181818181,3.230769230769231,132.0
13091,2024,2.111061946902655,2.3893805309734515,1.0553097345132745,4.315789473684211,150.66666666666666
13092,2024,3.570588235294118,4.5,1.4411764705882353,2.0,34.0
13092,2025,5.984615384615385,5.538461538461538,1.5769230769230769,0.6153846153846154,26.0
13092,2026,5.297674418604652,6.279069767441861,1.9534883720930234,0.9,28.666666666666664
13126,2026,4.032432432432433,3.648648648648649,1.6621621621621623,1.6666666666666667,24.666666666666664
13130,2026,12.85,20.25,2.25,,1.3333333333333333
13147,2024,5.211111111111111,7.0,2.111111111111111,0.4444444444444444,9.0
13152,2024,6.452941176470588,15.882352941176473,2.823529411764706,0.75,5.666666666666666
13156,2024,4.648387096774194,6.532258064516129,1.6774193548387097,2.2,62.0
13156,2025,12.1,12.0,1.6666666666666667,1.0,3.0
13156,2026,3.5285714285714285,4.408163265306123,1.2857142857142858,2.0,16.333333333333332
13157,2024,8.916326530612245,12.122448979591837,2.3877551020408165,0.5555555555555556,16.333333333333332
13157,2026,4.667164179104478,5.64179104477612,1.6567164179104479,1.0909090909090908,22.333333333333332
