game_id,team_code,team_recent30_rbi
20250156,3001,118
20250164,3001,119
20250169,3001,124
20250174,3001,133
20250177,3001,138
20250182,3001,136
20250187,3001,136
20250192,3001,139
20250197,3001,135
20250202,3001,129
20250214,3001,131
20250219,3001,131
20250793,3001,131
20250224,3001,129
20250229,3001,123
20250234,3001,127
20250242,3001,120
20250802,3001,120
20250247,3001,128
20250252,3001,123
20250257,3001,127
20250262,3001,133
20250270,3001,144
20250275,3001,142
20250280,3001,145
20250283,3001,139
20250293,3001,137
20250297,3001,131
20250302,3001,127
20250308,3001,123
20250313,3001,118
20250318,3001,119
20250323,3001,123
20250326,3001,122
20250331,3001,118
20250337,3001,127
20250342,3001,123
20250347,3001,119
20250352,3001,123
20250362,3001,129
20250367,3001,127
20250372,3001,113
20250377,3001,107
20250382,3001,109
20250388,3001,105
20250398,3001,91
20250408,3001,84
20250413,3001,85
20250418,3001,90
20250423,3001,98
20250429,3001,95
20250432,3001,98
20250437,3001,97
20250442,3001,100
20250449,3001,95
20250454,3001,95
20250460,3001,90
20250463,3001,84
20250468,3001,85
20250473,3001,90
20250481,3001,69
20250486,3001,68
20250491,3001,70
20250500,3001,69
20250505,3001,63
20250510,3001,67
20250512,3001,70
20250517,3001,76
20250522,3001,78
20250528,3001,75
20250533,3001,70
20250538,3001,74
20250545,3001,82
20250550,3001,79
20250551,3001,80
20250558,3001,84
20250563,3001,79
20250568,3001,86
20250572,3001,87
20250583,3001,82
20250590,3001,83
20250595,3001,83
20250600,3001,83
20250603,3001,87
20250608,3001,91
20250614,3001,92
20250616,3001,91
20250621,3001,91
20250626,3001,94
20250633,3001,96
20250638,3001,98
20250643,3001,96
20250648,3001,94
20250653,3001,91
20250658,3001,93
20250663,3001,91
20250668,3001,88
20250673,3001,86
20250859,3001,88
20250863,3001,81
20250871,3001,89
20250885,3001,82
20250888,3001,82
20250893,3001,82
20250900,3001,86
20250908,3001,89
20250922,3001,84
20250927,3001,97
20250934,3001,89
20250974,3001,77
20250940,3001,80
20250944,3001,79
20250948,3001,84
20250969,3001,85
20250954,3001,79
20230004,5002,0
20230009,5002,6
20230012,5002,16
20230017,5002,23
20230022,5002,24
20230026,5002,28
20230031,5002,35
20230036,5002,37
20230044,5002,40
20230049,5002,45
20230054,5002,57
20230056,5002,63
20230061,5002,75
20230066,5002,77
20230071,5002,82
20230076,5002,86
20230081,5002,93
20230088,5002,102
20230093,5002,105
20230098,5002,108
20230101,5002,113
20230106,5002,118
20230111,5002,119
20230116,5002,125
20230121,5002,128
20230126,5002,131
20230135,5002,133
20230140,5002,128
20230156,5002,118
20230161,5002,120
20230166,5002,122
20230171,5002,123
20230180,5002,119
20230185,5002,107
20230190,5002,108
20230191,5002,101
20230196,5002,103
20230201,5002,110
20230206,5002,114
20230211,5002,110
20230216,5002,102
20230222,5002,100
20230227,5002,103
20230232,5002,106
20230239,5002,109
20230244,5002,113
20230249,5002,110
20230251,5002,110
20230256,5002,104
20230261,5002,105
20230266,5002,106
20230271,5002,106
20230276,5002,109
20230282,5002,110
20230287,5002,108
20230292,5002,113
20230298,5002,108
20230303,5002,112
20230308,5002,111
20230311,5002,117
20230316,5002,112
20230321,5002,114
20230326,5002,114
20230331,5002,114
20230336,5002,110
20230345,5002,120
20230350,5002,120
20230355,5002,129
20230356,5002,125
20230361,5002,123
20230366,5002,122
20230372,5002,120
20230377,5002,128
20230386,5002,133
20230391,5002,137
20230396,5002,134
20230406,5002,130
20230411,5002,134
20230424,5002,128
20230429,5002,140
20230436,5002,126
20230446,5002,87
20230463,5002,70
20230468,5002,65
20230473,5002,68
20230476,5002,62
20230481,5002,64
20230486,5002,70
20230491,5002,70
20230496,5002,72
20230501,5002,77
20230507,5002,81
20230512,5002,79
20230517,5002,74
20230530,5002,65
20230536,5002,68
20230541,5002,72
20230546,5002,80
20230552,5002,95
20230557,5002,100
20230562,5002,106
20230568,5002,108
20230573,5002,114
20230578,5002,123
20230591,5002,120
20230600,5002,122
20230605,5002,120
20230610,5002,117
20230621,5002,97
20230626,5002,95
20230631,5002,100
