date,game_id,status,game_time,Stadium_code,away_team,home_team,away_sp_id,home_sp_id,away_sp_name,home_sp_name,away_score,home_score,weather_code,temperature,humidity,wind_direction,wind_speed,rain_probability,leagueType,season,target_home_win,is_draw
2023-05-07,20230157,3,14:00:00,1003,9002,10001,15462,13940,송영진,요키시,7.0,6.0,10400,17.0,35,20500,2.2,,10100,2023,0.0,0
2023-05-07,20230158,3,14:00:00,4001,12001,7002,11318,15013,엄상백,문동주,2.0,6.0,10400,14.0,56,20300,1.9,,10100,2023,1.0,0
2023-05-09,20230161,3,18:30:00,1001,10001,5002,15531,15003,후라도,플럿코,4.0,5.0,10100,21.9,40,21100,3.0,,10100,2023,1.0,0
2023-05-09,20230162,3,18:30:00,2002,11001,12001,15535,15143,페디,벤자민,16.0,4.0,10400,20.8,35,21500,2.0,,10100,2023,0.0,0
2023-05-09,20230163,3,18:30:00,4001,1001,7002,14617,11410,뷰캐넌,김민우,9.0,1.0,10100,21.3,44,21300,3.8,,10100,2023,0.0,0
2023-05-09,20230164,3,18:30:00,6001,9002,2002,10126,10058,김광현,양현종,0.0,3.0,10100,19.7,31,20100,2.2,,10100,2023,1.0,0
2023-05-09,20230165,3,18:30:00,8001,6002,3001,13941,14627,알칸타라,스트레일리,5.0,2.0,10100,21.5,38,20900,1.4,,10100,2023,0.0,0
2023-05-10,20230166,3,18:30:00,1001,10001,5002,11379,14588,최원태,김윤식,11.0,1.0,10100,24.6,39,21300,2.6,,10100,2023,0.0,0
2023-05-10,20230167,3,18:30:00,2002,11001,12001,13085,14600,신민혁,소형준,8.0,7.0,10100,22.1,37,21300,2.8,,10100,2023,0.0,0
2023-05-10,20230168,3,18:30:00,4001,1001,7002,14113,15146,원태인,페냐,1.0,5.0,10100,22.9,34,20100,2.2,,10100,2023,1.0,0
2023-05-10,20230169,3,18:30:00,6001,9002,2002,11242,15533,이건욱,앤더슨,5.0,3.0,10100,23.8,30,20300,1.0,,10100,2023,0.0,0
2023-05-10,20230170,3,18:30:00,8001,6002,3001,12852,15011,최원준,반즈,0.0,3.0,10100,19.8,53,20100,1.0,,10100,2023,1.0,0
2023-05-11,20230171,3,18:30:00,1001,10001,5002,10533,10652,정찬헌,임찬규,0.0,1.0,10100,24.2,32,21500,3.2,,10100,2023,1.0,0
2023-05-11,20230172,3,18:30:00,2002,11001,12001,11353,15542,구창모,슐서,4.0,1.0,10100,23.2,28,21300,2.7,,10100,2023,0.0,0
