game_id,player_id,team_code,vs_team,game_date,G,GS,IP,R,ER,TBF,H,HR,BB,SO,NP,ERA,WHIP,OPS,IP_real,is_starter_actual,role_game
20240393,10126,9002,11001,06-22,1,1,6.0,3,3,25,4,2,4,5,94,4.5,1.33,0.796,6.0,1,starter
20240416,10126,9002,6002,06-28,1,1,5.0,7,6,23,6,1,3,4,77,10.8,1.8,0.991,5.0,1,starter
20240445,10126,9002,11001,07-04,1,1,7.0,0,0,23,2,0,0,7,91,0.0,0.29,0.174,7.0,1,starter
20240453,10126,9002,3001,07-10,1,1,6.0,4,3,27,8,0,1,6,98,4.5,1.5,0.666,6.0,1,starter
20240481,10126,9002,5002,07-17,1,1,3.0,8,8,19,9,2,1,2,73,24.0,3.33,1.415,3.0,1,starter
20240512,10126,9002,12001,07-24,1,1,6.0,1,1,24,5,0,2,4,89,1.5,1.17,0.618,6.0,1,starter
20240538,10126,9002,3001,07-30,1,1,5.0,5,4,26,8,0,2,5,103,7.2,2.0,0.858,5.0,1,starter
20240563,10126,9002,1001,08-04,1,1,3.0,4,4,20,3,0,6,4,80,12.0,3.0,0.879,3.0,1,starter
20240587,10126,9002,6002,08-10,1,1,5.0,4,4,22,4,1,2,7,92,7.2,1.2,0.739,5.0,1,starter
20240617,10126,9002,7002,08-17,1,1,6.0,5,3,27,8,2,1,6,84,4.5,1.5,0.948,6.0,1,starter
20240643,10126,9002,12001,08-23,1,1,5.1,2,2,25,8,2,3,2,91,3.38,2.06,1.076,5.333333333333333,1,starter
20240668,10126,9002,2002,08-29,1,1,6.0,4,4,24,8,1,1,3,89,6.0,1.5,0.984,6.0,1,starter
20241440,10126,9002,5002,09-05,1,1,6.0,2,1,26,5,0,4,6,103,1.5,1.5,0.619,6.0,1,starter
20241462,10126,9002,3001,09-11,1,1,4.0,6,6,20,6,2,1,4,74,13.5,1.75,1.133,4.0,1,starter
20241484,10126,9002,2002,09-17,1,1,5.0,0,0,23,4,0,5,7,101,0.0,1.8,0.613,5.0,1,starter
20241504,10126,9002,12001,09-22,1,1,6.0,0,0,23,1,0,4,5,93,0.0,0.83,0.27,6.0,1,starter
20241521,10126,9002,7002,09-28,1,1,5.1,2,2,24,3,0,4,6,97,3.38,1.31,0.542,5.333333333333333,1,starter
20250007,10126,9002,6002,03-23,1,1,5.2,2,2,26,7,0,2,8,99,3.18,1.59,0.721,5.666666666666667,1,starter
20250032,10126,9002,10001,03-29,1,1,5.0,2,2,22,5,1,2,4,91,3.6,1.4,0.785,5.0,1,starter
20250057,10126,9002,12001,04-04,1,1,5.0,1,1,22,5,0,3,3,99,1.8,1.6,0.68,5.0,1,starter
20250083,10126,9002,1001,04-10,1,1,6.0,0,0,21,2,0,1,8,100,0.0,0.5,0.348,6.0,1,starter
20250107,10126,9002,7002,04-16,1,1,5.0,5,5,23,7,2,1,4,74,9.0,1.6,1.121,5.0,1,starter
20250134,10126,9002,12001,04-22,1,1,5.2,5,4,29,10,0,4,5,91,6.35,2.47,0.997,5.666666666666667,1,starter
20250157,10126,9002,10001,04-27,1,1,3.1,7,7,20,9,1,1,2,84,18.9,3.0,1.132,3.333333333333333,1,starter
20250181,10126,9002,5002,05-03,1,1,6.0,4,0,26,6,0,1,7,105,0.0,1.17,0.589,6.0,1,starter
20250792,10126,9002,2002,05-11,1,1,7.0,1,1,25,1,1,1,7,96,1.29,0.29,0.247,7.0,1,starter
20250800,10126,9002,7002,05-17,1,1,6.0,1,1,27,5,0,2,4,105,1.5,1.17,0.546,6.0,1,starter
20250261,10126,9002,6002,05-22,1,1,6.0,1,1,23,5,0,1,7,82,1.5,1.0,0.488,6.0,1,starter
20250287,10126,9002,11001,05-28,1,1,5.0,4,4,21,5,0,3,4,96,7.2,1.6,0.714,5.0,1,starter
20250312,10126,9002,1001,06-03,1,1,5.2,3,3,24,6,1,1,8,90,4.76,1.24,0.828,5.666666666666667,1,starter
20250362,10126,9002,3001,06-14,1,1,6.0,2,2,23,4,1,2,4,88,3.0,1.0,0.594,6.0,1,starter
20250392,10126,9002,2002,06-21,1,1,4.2,4,4,25,6,1,5,4,95,7.71,2.36,0.94,4.666666666666667,1,starter
20250439,10126,9002,2002,07-02,1,1,5.2,5,5,26,10,1,0,8,87,7.94,1.76,0.962,5.666666666666667,1,starter
20250462,10126,9002,12001,07-08,1,1,5.0,1,1,20,2,0,2,3,91,1.8,0.8,0.367,5.0,1,starter
20250492,10126,9002,6002,07-20,1,1,6.0,1,1,23,4,0,1,9,95,1.5,0.83,0.399,6.0,1,starter
20250520,10126,9002,7002,07-26,1,1,6.0,2,2,23,6,0,1,3,81,3.0,1.17,0.577,6.0,1,starter
20250541,10126,9002,6002,08-01,1,1,6.0,2,2,25,4,0,4,5,102,3.0,1.33,0.51,6.0,1,starter
20250567,10126,9002,1001,08-07,1,1,3.2,6,6,22,8,0,2,3,75,14.73,2.73,1.0,3.6666666666666665,1,starter
20250618,10126,9002,12001,08-19,1,1,4.0,4,4,20,8,1,2,2,72,9.0,2.5,1.111,4.0,1,starter
20250667,10126,9002,11001,08-30,1,1,4.0,5,5,20,7,0,2,3,83,11.25,2.25,0.862,4.0,1,starter
20250879,10126,9002,5002,09-07,1,1,5.0,3,3,21,7,0,0,3,83,5.4,1.4,0.809,5.0,1,starter
20250900,10126,9002,3001,09-13,1,1,1.1,4,4,11,5,1,2,3,47,27.0,5.25,1.747,1.3333333333333333,1,starter
20250928,10126,9002,6002,09-21,1,1,5.0,3,3,21,8,1,0,7,76,5.4,1.6,0.952,5.0,1,starter
20250945,10126,9002,6002,09-27,1,1,5.1,1,1,21,2,0,3,4,76,1.69,0.94,0.405,5.333333333333333,1,starter
20250994,10126,9002,11001,10-04,1,1,5.0,7,6,26,10,1,1,6,90,10.8,2.2,1.154,5.0,1,starter
20230027,10131,9002,7002,04-07,1,1,6.0,0,0,22,3,0,4,4,92,0.0,1.17,0.485,6.0,1,starter
20230052,10131,9002,1001,04-13,1,1,3.0,8,8,21,6,3,3,4,87,24.0,3.0,1.638,3.0,1,starter
20230078,10131,9002,12001,04-19,1,1,6.0,5,4,28,10,1,1,1,107,6.0,1.83,0.893,6.0,1,starter
20230127,10131,9002,6002,04-30,1,1,6.0,1,1,26,6,0,1,5,101,1.5,1.17,0.6,6.0,1,starter
20230152,10131,9002,10001,05-06,1,1,7.0,1,1,26,4,0,2,6,104,1.29,0.86,0.443,7.0,1,starter
20230178,10131,9002,7002,05-12,1,1,5.0,4,3,25,7,1,3,3,106,5.4,2.0,0.9,5.0,1,starter
20230209,10131,9002,3001,05-19,1,1,4.0,3,3,18,4,0,2,2,71,6.75,1.5,0.708,4.0,1,starter
20230236,10131,9002,6002,05-26,1,1,4.2,3,3,25,4,0,6,1,99,5.79,2.14,0.925,4.666666666666667,1,starter
20230267,10131,9002,10001,06-02,1,1,5.0,2,2,23,3,0,4,3,96,3.6,1.4,0.685,5.0,1,starter
20230294,10131,9002,2002,06-08,1,1,4.0,4,4,20,2,0,6,4,81,9.0,2.0,0.641,4.0,1,starter
20230318,10131,9002,12001,06-14,1,1,3.0,8,8,19,5,1,6,1,79,24.0,3.67,1.271,3.0,1,starter
20230377,10131,9002,5002,06-28,1,1,5.0,1,1,22,3,0,3,7,96,1.8,1.2,0.631,5.0,1,starter
20230408,10131,9002,2002,07-05,1,1,2.2,5,5,18,6,0,3,1,66,16.88,3.38,1.056,2.6666666666666665,1,starter
20230483,10131,9002,7002,07-29,1,1,6.0,0,0,21,3,0,0,7,92,0.0,0.5,0.333,6.0,1,starter
