player_id,player_name,team_code,pj_date
13175,박주현,11001,2024-09-01
14153,채현우,9002,2024-09-01
15875,양도근,1001,2024-08-29
12900,소이현,11001,2024-09-01
16044,박성빈,9002,2024-08-24
16049,김민규,11001,2024-09-01
16053,임상현,11001,2024-08-03
16056,최우석,11001,2024-08-24
16068,여동건,6002,2024-09-01
16082,김민주,2002,2024-09-01
16083,김민재,2002,2024-09-01
16090,정현수,3001,2024-08-18
16136,원성준,10001,2024-08-11
14783,이영빈,5002,2024-08-11
16160,에르난데스,5002,2024-08-08
16161,라우어,2002,2024-08-11
16162,디아즈,1001,2024-08-17
16163,스타우트,2002,2024-09-01
12571,정동윤,9002,2024-09-13
12914,유승철,2002,2024-09-14
15058,윤도현,2002,2024-09-21
15515,박민준,6002,2024-09-28
14141,김성진,5002,2024-09-12
14659,한재환,11001,2024-09-20
14866,이창용,1001,2024-09-21
14811,장규현,7002,2024-09-03
14711,김승일,7002,2024-09-17
16041,최현석,9002,2024-09-25
16069,임종성,6002,2024-09-22
16071,박지호,6002,2024-09-28
16076,류현준,6002,2024-09-19
16086,김두현,2002,2024-09-28
16091,이호준,3001,2024-09-27
16092,박준우,3001,2024-09-07
16102,강승구,3001,2024-09-25
16133,박범준,10001,2024-09-03
16135,심휘윤,10001,2024-09-28
14690,이인한,3001,2024-09-13
14777,권동진,12001,2024-09-19
13162,김무신,1001,2024-09-24
15081,이주헌,5002,2024-09-25
11117,김종수,7002,2025-03-25
14870,최성민,12001,2025-03-22
15453,목지훈,11001,2025-03-27
15527,강건,12001,2025-03-22
14803,김건우,9002,2025-03-22
15086,문정빈,5002,2025-03-22
13094,추재현,6002,2025-03-30
14601,이강준,10001,2025-03-22
15004,푸이그,10001,2025-03-22
15046,조세진,3001,2025-03-28
15051,한태양,3001,2025-03-22
14593,김태경,11001,2025-03-22
14799,이재희,1001,2025-03-22
16239,배찬승,1001,2025-03-22
16252,박재현,2002,2025-03-22
16261,올러,2002,2025-03-22
16262,위즈덤,2002,2025-03-22
16273,데이비슨,3001,2025-03-22
16274,김영우,5002,2025-03-22
16286,치리노스,5002,2025-03-22
16289,홍민규,6002,2025-03-30
16298,콜어빈,6002,2025-03-22
16299,잭로그,6002,2025-03-22
16301,정우주,7002,2025-03-22
16302,권민규,7002,2025-03-22
16312,플로리얼,7002,2025-03-22
16313,폰세,7002,2025-03-22
16325,정현우,10001,2025-03-26
16328,어준서,10001,2025-03-25
16331,윤현,10001,2025-03-27
16332,전태현,10001,2025-03-22
16333,양현종,10001,2025-03-28
16339,로젠버그,10001,2025-03-22
16349,라일리,11001,2025-03-22
16350,로건,11001,2025-03-22
15111,이준혁,11001,2025-05-01
14191,강민성,12001,2025-04-29
14146,김창평,9002,2025-04-30
14605,윤준혁,12001,2025-04-19
16130,송지후,10001,2025-05-01
15113,김녹원,11001,2025-05-01
16240,심재훈,1001,2025-04-17
16264,박세현,3001,2025-05-01
16300,케이브,6002,2025-04-10
16324,화이트,9002,2025-04-17
16326,김서준,10001,2025-04-25
16385,손힘찬,10001,2025-05-01
16390,맥브룸,9002,2025-04-25
14177,홍원빈,2002,2025-05-30
14162,김현수,2002,2025-05-09
15030,김태윤,9002,2025-05-31
16040,박기호,9002,2025-05-27
16085,성영탁,2002,2025-05-20
16114,원종혁,7002,2025-05-27
15121,석정우,9002,2025-05-30
15032,전영준,9002,2025-05-20
14829,김정호,11001,2025-05-30
14122,박승규,1001,2025-05-23
16241,차승준,1001,2025-05-31
16281,김종운,5002,2025-05-23
16287,박준순,6002,2025-05-30
16288,최민석,6002,2025-05-21
16293,양재훈,6002,2025-05-15
16336,임진묵,10001,2025-05-25
16340,김태훈,11001,2025-05-14
16353,김재원,12001,2025-05-16
16363,김준상,6002,2025-05-28
16377,이태경,3001,2025-05-31
16384,이준우,10001,2025-05-02
16391,감보아,3001,2025-05-27
12928,윤성빈,3001,2025-06-13
15437,이도현,2002,2025-06-28
15483,서유신,10001,2025-06-27
14625,홍민기,3001,2025-06-11
15882,김대호,1001,2025-07-01
14657,장재혁,2002,2025-06-27
15100,김동준,6002,2025-06-03
14130,박주성,10001,2025-07-01
14855,이주형,10001,2025-06-28
