game_id,player_id,team_code,PA,AB,H,HR,RBI,BB,SO,R,H2,H3,HBP,SB,CS,SF,AVG,OBP,SLG,OPS
20240607,10008,2002,4,4,4,0,1,0,0,1,,,,0,0,0,1.0,1.0,1.0,2.0
20240611,10008,2002,4,4,1,0,0,0,0,0,,,,0,0,0,0.25,0.25,0.25,0.5
20240616,10008,2002,5,5,2,0,4,0,0,1,,,,0,0,0,0.4,0.4,0.6,1.0
20240621,10008,2002,4,3,1,0,1,0,1,0,,,,0,0,0,0.333,0.333,0.333,0.666
20240635,10008,2002,4,4,3,0,2,0,0,1,,,,0,0,0,0.75,0.75,1.0,1.75
20240640,10008,2002,4,4,2,0,0,0,0,0,,,,0,0,0,0.5,0.5,0.75,1.25
20240645,10008,2002,4,4,1,0,2,0,1,0,,,,0,0,0,0.25,0.25,0.5,0.75
20240650,10008,2002,4,4,1,0,0,0,0,1,,,,1,0,0,0.25,0.25,0.25,0.5
20240655,10008,2002,4,3,0,0,0,0,1,0,,,,0,0,0,0.0,0.0,0.0,0.0
20240658,10008,2002,3,3,3,0,0,0,0,2,,,,1,0,0,1.0,1.0,1.0,2.0
20240663,10008,2002,4,4,2,0,0,0,1,0,,,,0,0,0,0.5,0.5,0.75,1.25
20240668,10008,2002,4,4,3,0,0,0,0,1,,,,0,0,0,0.75,0.75,1.25,2.0
20241428,10008,2002,5,5,2,0,1,0,0,1,,,,0,0,0,0.4,0.4,0.4,0.8
20241431,10008,2002,5,4,3,0,0,0,0,0,,,,0,0,0,0.75,0.75,0.75,1.5
20241434,10008,2002,4,4,1,0,2,0,0,0,,,,0,0,0,0.25,0.25,0.25,0.5
20241437,10008,2002,4,4,1,1,2,0,0,1,,,,0,0,0,0.25,0.25,1.0,1.25
20241445,10008,2002,4,4,2,0,0,0,0,1,,,,0,0,0,0.5,0.5,0.75,1.25
20241451,10008,2002,4,3,1,0,2,1,0,0,,,,0,0,0,0.333,0.5,0.333,0.833
